sim_anneal_select with changing tournament size and annealing rate
Tournament Size, Annealing Rate, Area
15.000000,0.750000,45273.000000
15.000000,0.800000,41488.000000
15.000000,0.850000,41755.000000
15.000000,0.900000,46044.000000
15.000000,0.950000,56912.000000
16.000000,0.000000,56867.000000
16.000000,0.050000,58643.000000
16.000000,0.100000,35967.000000
16.000000,0.150000,42561.000000
16.000000,0.200000,35672.000000
16.000000,0.250000,38011.000000
16.000000,0.300000,51381.000000
16.000000,0.350000,55841.000000
16.000000,0.400000,57837.000000
16.000000,0.450000,45441.000000
16.000000,0.500000,39836.000000
16.000000,0.550000,38150.000000
16.000000,0.600000,41541.000000
16.000000,0.650000,116572.000000
16.000000,0.700000,53570.000000
16.000000,0.750000,52486.000000
16.000000,0.800000,42002.000000
16.000000,0.850000,45353.000000
16.000000,0.900000,59135.000000
16.000000,0.950000,57892.000000
17.000000,0.000000,47430.000000
17.000000,0.050000,37760.000000
17.000000,0.100000,51693.000000
17.000000,0.150000,43466.000000
17.000000,0.200000,61394.000000
17.000000,0.250000,41290.000000
17.000000,0.300000,42085.000000
17.000000,0.350000,42807.000000
17.000000,0.400000,44659.000000
17.000000,0.450000,48732.000000
17.000000,0.500000,39512.000000
17.000000,0.550000,44203.000000
17.000000,0.600000,51483.000000
17.000000,0.650000,45186.000000
17.000000,0.700000,64564.000000
17.000000,0.750000,42469.000000
17.000000,0.800000,47652.000000
17.000000,0.850000,38374.000000
17.000000,0.900000,43249.000000
17.000000,0.950000,44944.000000
18.000000,0.000000,59304.000000
18.000000,0.050000,59304.000000
18.000000,0.100000,58780.000000
18.000000,0.150000,54580.000000
18.000000,0.200000,55744.000000
18.000000,0.250000,58432.000000
18.000000,0.300000,67292.000000
18.000000,0.350000,56353.000000
18.000000,0.400000,37190.000000
18.000000,0.450000,47379.000000
18.000000,0.500000,46152.000000
18.000000,0.550000,59059.000000
18.000000,0.600000,38284.000000
18.000000,0.650000,36542.000000
18.000000,0.700000,46689.000000
18.000000,0.750000,48764.000000
18.000000,0.800000,44040.000000
18.000000,0.850000,97611.000000
18.000000,0.900000,50246.000000
18.000000,0.950000,51115.000000
19.000000,0.000000,61381.000000
19.000000,0.050000,46788.000000
19.000000,0.100000,57384.000000
19.000000,0.150000,48669.000000
19.000000,0.200000,95981.000000
19.000000,0.250000,60749.000000
19.000000,0.300000,45433.000000
19.000000,0.350000,45217.000000
19.000000,0.400000,45192.000000
19.000000,0.450000,45631.000000
19.000000,0.500000,59458.000000
19.000000,0.550000,55594.000000
19.000000,0.600000,37846.000000
19.000000,0.650000,49760.000000
19.000000,0.700000,42409.000000
19.000000,0.750000,42470.000000
19.000000,0.800000,39406.000000
19.000000,0.850000,60973.000000
19.000000,0.900000,49274.000000
19.000000,0.950000,42537.000000
20.000000,0.000000,41307.000000
20.000000,0.050000,35797.000000
20.000000,0.100000,43368.000000
20.000000,0.150000,46935.000000
20.000000,0.200000,53171.000000
20.000000,0.250000,46973.000000
20.000000,0.300000,37845.000000
20.000000,0.350000,59945.000000
20.000000,0.400000,59284.000000
20.000000,0.450000,46633.000000
20.000000,0.500000,65845.000000
20.000000,0.550000,40078.000000
20.000000,0.600000,43863.000000
20.000000,0.650000,47308.000000
20.000000,0.700000,45898.000000
20.000000,0.750000,44466.000000
20.000000,0.800000,40808.000000
20.000000,0.850000,41218.000000
20.000000,0.900000,36459.000000
20.000000,0.950000,60222.000000
21.000000,0.000000,40818.000000
